chamber,session,roll call,member,vote
House,1,86,L000590,Yes
House,1,86,L000589,No
House,1,86,L000593,Yes
House,1,86,L000592,Yes
House,1,86,L000287,Yes
House,1,86,L000582,Not Voting
House,1,86,L000563,Yes
House,1,86,L000565,Yes
House,1,86,L000397,Yes
House,1,86,L000576,No
House,1,86,L000583,No
House,1,86,L000579,Yes
House,1,86,L000480,Yes
House,1,86,L000491,No
House,1,86,L000569,No
House,1,86,L000570,Yes
House,1,86,L000591,Yes
House,1,86,L000562,Yes
House,1,86,M001203,Yes
House,1,86,M000087,Yes
House,1,86,M001185,Yes
House,1,86,M001158,No
House,1,86,M001198,No
House,1,86,M001184,No
House,1,86,M001199,No
House,1,86,M001163,Yes
House,1,86,M001209,Yes
House,1,86,M001208,Yes
House,1,86,M001165,No
House,1,86,M001157,No
House,1,86,M001177,No
House,1,86,M001143,Yes
House,1,86,M001200,Yes
House,1,86,M000312,Yes
House,1,86,M001156,No
House,1,86,M001180,No
House,1,86,M001166,Yes
House,1,86,M001187,No
House,1,86,M001137,Yes
House,1,86,M001188,Yes
House,1,86,M001204,No
House,1,86,M001205,No
House,1,86,M001201,No
House,1,86,M001194,No
House,1,86,M001195,No
House,1,86,M001160,Yes
House,1,86,M001206,Yes
House,1,86,M001196,Yes
House,1,86,M001207,Yes
House,1,86,M001190,No
House,1,86,M001202,Yes
House,1,86,N000002,Yes
House,1,86,N000179,Yes
House,1,86,N000015,Yes
House,1,86,N000191,Yes
House,1,86,N000189,No
House,1,86,N000188,Yes
House,1,86,N000190,No
House,1,86,N000181,No
House,1,86,O000171,Yes
House,1,86,O000172,Yes
House,1,86,O000168,No
House,1,86,O000173,Yes
House,1,86,P000601,No
House,1,86,P000034,Yes
House,1,86,P000609,No
House,1,86,P000613,Yes
House,1,86,P000614,Yes
House,1,86,P000096,Yes
House,1,86,P000604,Yes
House,1,86,P000615,No
House,1,86,P000593,Yes
House,1,86,P000605,No
House,1,86,P000608,Yes
House,1,86,P000258,Yes
House,1,86,P000616,Yes
House,1,86,P000597,Yes
House,1,86,P000607,Yes
House,1,86,P000618,Yes
House,1,86,P000599,No
House,1,86,P000617,Yes
House,1,86,P000523,Yes
House,1,86,Q000023,Not Voting
House,1,86,R000606,Yes
House,1,86,R000601,No
House,1,86,R000585,No
House,1,86,R000610,No
House,1,86,R000602,Yes
House,1,86,R000597,No
House,1,86,R000588,Yes
House,1,86,R000611,No
House,1,86,R000591,No
House,1,86,M001159,No
House,1,86,R000582,No
House,1,86,R000575,No
House,1,86,R000395,No
House,1,86,R000607,No
House,1,86,R000613,Yes
House,1,86,R000612,No
House,1,86,R000616,Yes
House,1,86,R000603,No
House,1,86,R000614,No
House,1,86,R000486,Yes
House,1,86,R000599,Yes
House,1,86,R000576,Yes
House,1,86,R000515,Yes
House,1,86,R000609,No
House,1,86,R000577,Yes
House,1,86,S001156,Yes
House,1,86,S001168,Yes
House,1,86,S001176,No
House,1,86,S001205,Yes
House,1,86,S001145,Yes
House,1,86,S001150,Yes
House,1,86,S001190,Yes
House,1,86,S001180,Yes
House,1,86,S001216,Yes
House,1,86,S001183,No
House,1,86,S000185,Yes
House,1,86,S001189,No
House,1,86,S001157,Yes
House,1,86,S000244,No
House,1,86,S000248,Yes
House,1,86,S001185,Yes
House,1,86,S001206,Yes
House,1,86,S000344,Yes
House,1,86,S001207,Yes
House,1,86,S000364,No
House,1,86,S001148,No
House,1,86,S001165,Yes
House,1,86,S001208,Yes
House,1,86,S001195,No
House,1,86,S001172,No
House,1,86,S000522,No
House,1,86,S000510,Yes
House,1,86,S001199,No
House,1,86,S001200,Yes
House,1,86,S001209,Yes
House,1,86,S001210,No
House,1,86,S001175,Yes
House,1,86,S001211,Yes
House,1,86,S001212,No
House,1,86,S001196,No
House,1,86,S001213,No
House,1,86,S001214,No
House,1,86,S001215,Yes
House,1,86,S001192,No
House,1,86,S001187,No
House,1,86,S001201,Yes
House,1,86,S001193,Yes
House,1,86,T000472,Yes
House,1,86,T000479,No
House,1,86,T000460,Yes
House,1,86,T000193,Yes
House,1,86,T000467,No
House,1,86,T000238,No
House,1,86,T000480,No
House,1,86,T000470,No
House,1,86,T000468,Yes
House,1,86,T000481,Yes
House,1,86,T000469,Yes
House,1,86,T000474,Yes
House,1,86,T000484,Yes
House,1,86,T000482,Yes
House,1,86,T000483,Yes
House,1,86,T000463,No
House,1,86,U000040,Yes
House,1,86,U000031,No
House,1,86,V000133,Yes
House,1,86,V000130,Yes
House,1,86,V000131,Yes
House,1,86,V000132,Yes
House,1,86,V000081,Yes
House,1,86,V000108,Yes
House,1,86,W000812,No
House,1,86,W000798,No
House,1,86,W000791,No
House,1,86,W000819,No
House,1,86,W000813,No
House,1,86,W000823,No
House,1,86,W000797,Yes
House,1,86,W000187,Yes
House,1,86,W000824,No
House,1,86,W000822,Yes
House,1,86,W000814,No
House,1,86,W000806,No
House,1,86,W000800,Yes
House,1,86,W000815,No
House,1,86,W000821,No
House,1,86,W000825,Yes
House,1,86,W000826,Yes
House,1,86,W000816,No
House,1,86,W000808,Yes
House,1,86,W000795,No
House,1,86,W000804,No
House,1,86,W000809,No
House,1,86,W000810,No
House,1,86,W000827,No
House,1,86,Y000062,Yes
House,1,86,Y000065,No
House,1,86,Y000033,No
House,1,86,Z000017,No
House,1,86,P000197,Speaker
House,1,85,A000374,No
House,1,85,A000370,Yes
House,1,85,A000055,Not Voting
House,1,85,A000371,Yes
House,1,85,A000372,No
House,1,85,A000376,Not Voting
House,1,85,A000367,No
House,1,85,A000369,No
House,1,85,A000377,No
House,1,85,A000375,No
House,1,85,A000378,Yes
House,1,85,B001291,No
House,1,85,B001298,No
House,1,85,B001307,No
House,1,85,B001306,No
House,1,85,B001299,No
